,name,manufacturer,product,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
23,en48**,쁘리엘르,침구,2021.07.13,5,피치스킨이라 그런지 부들부들하고 넉넉해서 베개솜 넣을때 쉬울거 같아요 마감도 이정도면 괜찮구요 배송받기전에 상세설명 사진만 보고 쨍한 색인거 같았는데 받아보니 그렇진 않아요 그린이라고 써있지만 겨자색에 가까워요,0,117,0,0,0
24,limw*****,쁘리엘르,침구,2021.06.16,5,색상은 찍은 사진과 동일하고 시어서커라서 많이 까실까실 할줄알앗는데 다른 이불들보다 그나마 (?)찌끔 덜 까실한편입니다. 그래도 부드러운이불은 아니에요! 시어서커만의매력이있는이불입니다^-^,0,105,5,0,0
25,wlsg********,쁘리엘르,침구,2021.07.13,5,여름이라 아이들 베개커버 교체해줬어요. 이불도 세트로 바꿔주고 싶었는데 영상에 보이는 이불과 베개커버만 좋아하고 아이들이 서로 가지겠다고 싸워요. 마이크로화이바였던것 같은데 이 제품을 다시 사고 싶지만 사이트에 아무리 봐도 없어요. 혹시 이 글을 보시면 같은 상품의 이불과 베개커버세트 있는지 확인 후 답장부탁드려요.,0,177,0,0,0
26,viol********,쁘리엘르,침구,2021.06.30,5,작은방 침대에 쓰려고 주문했어요. 같은 컬러로 큰 사이즈가 있었으면 좋았을걸...ㅠㅠ 컬러감도 깔끔하고 재질도 감기는 천이라 마음에 들어요!! 잘 쓰겠습니다!!!,0,90,0,0,0
27,util****,쁘리엘르,침구,2021.06.25,5,나풀나풀한 느낌이에요 이불인듯 아닌듯 하지만 더워도 이불을 꼭 덥어야 잘수있어서 구매했는데 부들부들하니 감촉은 좋네요 단지 퀸싸이즈인데 생각보다 작은거같아요 왜 그런거있잖아요 치수는 맞지만 작은느낌ㅋ 올해 써보고 하나 더 사야겠어요 배송도 빨라서 좋아요 가격대비 만족입니다.,0,153,0,0,0
28,bose*****,쁘리엘르,침구,2021.06.15,5,다좋아요.재질도좋고~~냉감이불은 진짜시원하고.근데 손톱이나 굳은살 뽀족한거에 찍히면 바로 뜯기는자국생기네용ㅠㅠ 보드랍고 좋은뎅 그리고 다른 이불들도 다 좋아요.근데 마감이... 라이터로 지지다가 배게 탈뻔ㅋㅋ 저렴하게샀으니 감안은 하지만 깔끔한마감이면 더 좋지 않았을까라는 아쉬움은 있네요~~^^,0,165,6,0,0
29,yoju***,쁘리엘르,침구,2021.07.08,5,핑크색 사용후 재구매에요. 몸을 감싸는 느낌이 고실고실하니 참 좋아요. 그레이색은 블루에 가까운 색이에요. 핑크보다 그레이가 와플이 더 볼록볼록한것 같아요. 강추요~,0,92,1,0,0
30,cher******,쁘리엘르,침구,2021.06.15,5,배송도 빠르고 잘받았습니다 할머니 여름 이불로 덮어드릴려고 주문했는데 시원하고 색감고 은은하니 고급스럽고 좋으네요ㅎㅎ 이번 여름 시원하게 쓰시면 좋겠어요ㅎ 할머니도 좋아하셔서 너무 좋습니다ㅎㅎ,0,107,0,0,0
31,자몽몽,쁘리엘르,침구,2021.06.19,5,배송도 빠르게 오고 생각보다 퀄리티가 좋았어요! 가격 생각해서 별로 기대안했는데 컬러도 딱 메론 컬러고 덕분에 여름맞이 이불 싼가격에 교체했습니다!,0,82,0,0,0
32,limw*****,쁘리엘르,침구,2021.06.16,5,배송도빠르고 쿠폰써서 싸게 잘구입했네요. 색상도고급스럽고 재질도부드러워요. 근데 프릴달린 사계절굿잠이불이 더 부드러운듯싶어요! 생각보다엄청두툼해서 한여름에는 잘넣어둬야겠어요.,0,97,0,0,0
33,sory**,쁘리엘르,침구,2021.07.03,5,배송 빠르게 도착했고 도착하고 바로 세탁기 돌렸네요. 파스텔 느낌의 색이고 앞뒤 구분 없이 사용할수 있을것 같아 깔고 덮고 하려고 1+1선택했네요. 잘선택 한것 같아요. 가볍고 겨울빼고는 크게 상관없이 덮고 잘수 있을것 같아요.,0,127,1,0,0
34,limw*****,쁘리엘르,침구,2021.06.16,5,아주저렴한가격에 시원한 재질 이불삿어요! 쿠폰까지 써서 싸게 잘구입함. 재질이 얇고 촉감이 엄청 부들부들 합니다. 쿨링바지처럼 그런 느낌이에요^-^,0,82,3,0,0
35,sory**,쁘리엘르,침구,2021.07.03,5,발송 지연 떠서 배송 늦는줄 알았는데 빠르게 도착했네요. 우선 실밥 털어내고(먼지털듯) 세탁하고 쓰는게 좋아요. 울세탁 해줬고요. 원단 무늬는 보통 인것 같은데 크기 적당하고 제질이나 베고 있을때 느낌은 괜찮네요.,0,119,2,0,0
