,product_review_index,product_index,category_index,review_date,review_rating,newline_count,review_len,special_char_count,manufacturer_count,product_count,review_score,c1
68809,7052,134439,128219,2019-07-20,5,26,472,52,0,2,99,5.739406779661017
68988,7074,184100,177867,2019-08-16,5,8,290,33,0,2,99,3.7724137931034485
69094,7089,134439,128219,2020-12-15,5,18,377,69,0,1,99,12.63395225464191
69188,7106,48510,42619,2021-06-18,5,15,413,41,6,0,99,4.159806295399516
69273,7119,48510,42619,2021-05-10,5,67,1427,136,2,2,99,12.967063770147162
69522,7153,134439,128219,2020-06-21,5,7,228,33,0,0,99,4.785087719298246
69546,7157,48510,42619,2020-05-23,5,91,1307,65,2,1,99,3.2364192807957153
69560,7158,134439,128219,2020-06-21,5,7,228,33,0,0,99,4.785087719298246
69614,7166,48510,42619,2016-11-17,5,85,1784,142,6,8,99,11.358744394618833
69637,7169,48510,42619,2020-01-30,5,44,1111,31,4,4,99,0.8937893789378938
69670,7173,27335,21717,2020-12-06,5,29,987,39,10,0,99,1.6433637284701115
69687,7175,48510,42619,2017-05-15,5,66,1174,105,4,4,99,9.418228279386712
69702,7177,27335,21717,2020-05-08,5,33,930,65,0,0,99,4.54516129032258
69711,7178,27335,21717,2019-11-20,5,23,796,49,0,0,99,3.0188442211055277
69719,7179,27335,21717,2018-02-19,5,38,1409,39,6,0,99,1.105748757984386
69720,7179,48510,42619,2019-02-12,5,92,1432,44,6,3,99,1.3833798882681565
69754,7183,48510,42619,2016-09-25,5,51,985,30,4,4,99,0.9461928934010152
70065,7219,12311,6665,2020-09-30,5,46,877,30,0,0,99,1.0285062713797035
70106,7223,48510,42619,2021-02-18,5,28,515,39,10,2,99,3.1553398058252426
70229,7236,12311,6665,2021-05-02,5,2,330,30,0,0,99,2.7333333333333334
70663,7275,164308,159152,2017-10-31,5,16,368,38,4,1,99,3.970108695652174
71135,7319,134439,128219,2019-09-04,5,7,138,30,0,0,99,6.536231884057971
71663,7372,48510,42619,2020-02-04,5,10,502,33,4,6,99,2.2729083665338647
71853,7392,48510,42619,2020-02-11,5,31,500,60,0,0,99,7.204
72018,7409,81169,74740,2021-01-14,5,49,856,47,2,8,99,2.6600467289719627
72057,7413,81169,74740,2020-08-10,5,88,1248,46,4,5,99,1.7283653846153846
72641,7476,81169,74740,2020-09-12,5,8,414,35,2,3,99,2.9903381642512077
73054,7521,81169,74740,2020-06-25,5,26,455,37,0,0,99,3.013186813186813
73164,7532,140447,140449,2021-06-05,5,63,1353,31,6,16,99,0.9260901699926091
73194,7535,140447,140449,2021-02-23,5,28,1636,107,6,7,99,7.050122249388753
73693,7586,140447,140449,2019-09-21,5,56,1027,31,0,6,99,0.9717624148003895
74133,7636,92571,86123,2021-07-10,5,42,1034,110,2,3,99,11.714700193423598
74141,7637,92571,86123,2021-07-09,5,85,967,50,0,7,99,2.637021716649431
74149,7638,92571,86123,2021-07-03,5,52,1329,113,2,4,99,9.623024830699775
74158,7639,92571,86123,2021-06-22,5,77,778,47,0,6,99,2.886889460154242
74175,7641,92571,86123,2021-05-25,5,44,1276,48,2,8,99,1.858934169278997
74255,7650,92571,86123,2021-04-24,5,41,730,32,0,6,99,1.4534246575342467
74273,7652,92571,86123,2021-03-25,5,36,1093,78,0,12,99,5.6989935956084175
74300,7655,92571,86123,2021-03-08,5,65,1157,146,4,9,99,18.50734658599827
74374,7663,92571,86123,2021-04-25,5,17,608,71,2,6,99,8.356907894736842
74428,7669,92571,86123,2021-02-23,5,45,701,91,4,7,99,11.905848787446505
74496,7676,92571,86123,2021-04-15,5,36,419,47,0,0,99,5.276849642004773
80780,8419,82444,74740,2021-07-08,5,58,1616,62,8,11,99,2.4931930693069306
80799,8421,82444,74740,2020-12-07,5,66,1686,78,2,7,99,3.639976275207592
81570,8511,68425,61422,2021-05-09,5,85,1267,48,8,8,99,1.919494869771113
81604,8515,68425,61422,2020-12-28,5,74,1380,25,16,16,99,0.8239130434782609
81613,8516,68425,61422,2020-11-30,5,154,2367,88,10,11,99,3.365019011406844
81684,8524,68425,61422,2020-01-27,5,54,1612,48,0,6,99,1.4522332506203475
81701,8526,68425,61422,2019-10-15,5,83,1415,142,4,5,99,14.279151943462898
81710,8527,68425,61422,2020-01-18,5,50,1123,162,4,13,99,23.534283170080144
